origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
25,Namseyling,8,27.431219,89.648438,108,Dr. Tobgyel MSS,27.404257,89.6064,,
26,Olakha,29,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4469707462,89.6587524835,,
27,Pamtsho,1,27.431219,89.648438,108,Dr. Tobgyel MSS,27.5107091633,89.6341291296,,
28,Ramtokto,6,27.431219,89.648438,108,Dr. Tobgyel MSS,27.416321,89.622819,,
29,RTC,12,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4034984778,89.6566570452,,
30,Samtenling,2,27.431219,89.648438,108,Dr. Tobgyel MSS,27.50077888,89.6336932565,,
31,Serbithang,11,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4202951523,89.6559116068,,
32,Simtokha,21,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4344083978,89.6678739051,,
33,Taba,1,27.431219,89.648438,108,Dr. Tobgyel MSS,27.5129062519,89.6451777064,,
34,Tshalubar,7,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4377037677,89.6555866401,,
35,Tshalumarphey,13,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4377037677,89.6555866401,,
1,Babesa,8,27.460459,89.637772,109,Druk HSS,27.4291816677,89.6472096023,,
4,Changangkha,14,27.460459,89.637772,109,Druk HSS,27.4724539904,89.6308464685,,
4,Changbangdu,5,27.460459,89.637772,109,Druk HSS,27.4513917224,89.6472442834,,
5,Changgidaphu,16,27.460459,89.637772,109,Druk HSS,27.4599353896,89.6333761155,,
6,Changjalu,7,27.460459,89.637772,109,Druk HSS,27.4469707462,89.6587524835,,
7,Changzamtog,20,27.460459,89.637772,109,Druk HSS,27.4611489703,89.641853715,,
8,Chanjiji,3,27.460459,89.637772,109,Druk HSS,27.4555043578,89.6529220173,,
9,Core,10,27.460459,89.637772,109,Druk HSS,27.4733136477,89.6382533581,,
10,Debsi,5,27.460459,89.637772,109,Druk HSS,27.4315666969,89.6403752994,,
11,Dechencholing,3,27.460459,89.637772,109,Druk HSS,27.5326052807,89.6425383727,,
13,Gangchey,2,27.460459,89.637772,109,Druk HSS,27.4177850318,89.6418826587,,
15,Hejo,1,27.460459,89.637772,109,Druk HSS,27.50077888,89.6336932565,,
17,Jungshina,2,27.460459,89.637772,109,Druk HSS,27.5107091633,89.6341291296,,
19,Kawangjangsa,3,27.460459,89.637772,109,Druk HSS,27.4855720912,89.6302952398,,
21,Kungacholing,1,27.460459,89.637772,109,Druk HSS,27.4766506425,89.6197167055,,
22,Langjophakha,1,27.460459,89.637772,109,Druk HSS,27.4958974797,89.6413215052,,
24,Motithang,14,27.460459,89.637772,109,Druk HSS,27.4766506425,89.6197167055,,
25,Namseyling,1,27.460459,89.637772,109,Druk HSS,27.404257,89.6064,,
26,Olakha,3,27.460459,89.637772,109,Druk HSS,27.4469707462,89.6587524835,,
27,Pamtsho,2,27.460459,89.637772,109,Druk HSS,27.5107091633,89.6341291296,,
29,RTC,3,27.460459,89.637772,109,Druk HSS,27.4034984778,89.6566570452,,
30,Samtenling,4,27.460459,89.637772,109,Druk HSS,27.50077888,89.6336932565,,
31,Serbithang,2,27.460459,89.637772,109,Druk HSS,27.4202951523,89.6559116068,,
32,Simtokha,2,27.460459,89.637772,109,Druk HSS,27.4344083978,89.6678739051,,
33,Taba,6,27.460459,89.637772,109,Druk HSS,27.5129062519,89.6451777064,,
35,Tshalumarphey,5,27.460459,89.637772,109,Druk HSS,27.4377037677,89.6555866401,,
36,Yangchenphug,1,27.460459,89.637772,109,Druk HSS,27.467397,89.6467373768,,
38,Zilukha,1,27.460459,89.637772,109,Druk HSS,27.4855720912,89.6302952398,,
1,Babesa,2,27.478166,89.626891,110,Early Learning Centre PS,27.4291816677,89.6472096023,,
4,Changangkha,10,27.478166,89.626891,110,Early Learning Centre PS,27.4724539904,89.6308464685,,
4,Changbangdu,4,27.478166,89.626891,110,Early Learning Centre PS,27.4513917224,89.6472442834,,
6,Changjalu,1,27.478166,89.626891,110,Early Learning Centre PS,27.4469707462,89.6587524835,,
7,Changzamtog,2,27.478166,89.626891,110,Early Learning Centre PS,27.4611489703,89.641853715,,
9,Core,1,27.478166,89.626891,110,Early Learning Centre PS,27.4733136477,89.6382533581,,
10,Debsi,1,27.478166,89.626891,110,Early Learning Centre PS,27.4315666969,89.6403752994,,
11,Dechencholing,2,27.478166,89.626891,110,Early Learning Centre PS,27.5326052807,89.6425383727,,
15,Hejo,4,27.478166,89.626891,110,Early Learning Centre PS,27.50077888,89.6336932565,,
17,Jungshina,1,27.478166,89.626891,110,Early Learning Centre PS,27.5107091633,89.6341291296,,
18,Kabisa,1,27.478166,89.626891,110,Early Learning Centre PS,27.5490698811,89.6542996104,,
19,Kawangjangsa,1,27.478166,89.626891,110,Early Learning Centre PS,27.4855720912,89.6302952398,,
21,Kungacholing,1,27.478166,89.626891,110,Early Learning Centre PS,27.4766506425,89.6197167055,,
22,Langjophakha,1,27.478166,89.626891,110,Early Learning Centre PS,27.4958974797,89.6413215052,,
